〇	zero	líng
犁骨	vomer	lí gǔ
犄角	horn	jī jiǎo
犊	calf	dú
犊子	calf	dú zi
犍	bullock	jiān
犍为	Qianwei	qián wéi
犍為	Qianwei	qián wéi
犍牛	bullock	jiān niú
犏牛	offspring of a bull and a female yak	piān niú
犒劳	reward with food and drink	kào láo
犒勞	reward with food and drink	kào láo
犒勞	reward with food and drink	kào láo
犒賞	reward	kào shǎng
犒赏	reward	kào shǎng
犖	brindled ox	luò
犟	obstinate	jiàng
犢	calf	dú
犢子	calf	dú zi
犧	sacrifice	xī
犧牲	to sacrifice	xī shēng
犧牲品	prey/victim	xī shēng pǐn
犧牲打	sacrifice hit	xī shēng dǎ
犧牲者	victim	xī shēng zhě
犧牲者	victim	xī shēng zhě
犧牲者	victim	xī shēng zhě
犬	dog	quǎn
犬儒主义	cynicism	quǎn rú zhǔ yì
犬儒主義	cynicism	quǎn rú zhǔ yì
犬齒	canine tooth/canine	quǎn chǐ
犬齿	canine tooth/canine	quǎn chǐ
犯	offend	fàn
犯	offend	fàn
犯上作乱	rebel	fàn shàng zuò luàn
犯上作乱	rebel	fàn shàng zuò luàn
犯上作亂	rebel	fàn shàng zuò luàn
犯上作亂	rebel	fàn shàng zuò luàn
犯上作亂	rebel	fàn shàng zuò luàn
犯下	violate	fàn xià
犯下	violate	犯 xià
犯不着	not worthwhile	fàn bu zháo
犯不着	not worthwhile	fàn bu zháo
犯不着	not worthwhile	fàn bu zháo
犯不着	not worthwhile	fàn bu zháo
犯不著	not worthwhile	fàn bu zháo
犯不著	not worthwhile	fàn bu zháo
犯不著	not worthwhile	fàn bu zháo
犯不著	not worthwhile	fàn bu zháo
犯事	commit a crime	fàn shì
犯事	commit a crime	fàn shì
犯人	prisoner/convict/criminal	fàn rén
犯人	prisoner/convict/criminal	fàn rén
犯傻	play dumb	fàn shǎ
犯傻	play dumb	fàn shǎ
犯愁	to worry/worry	fàn chóu
犯愁	to worry/worry	fàn chóu
犯意	criminal intent	fàn yì
犯意	criminal intent	fàn yì
犯案	be discovered and brought to justice	fàn àn
犯案	be discovered and brought to justice	fàn àn
犯毒	illegal drug	fàn dú
犯毒	illegal drug	犯 dú
犯法	to break the law	fàn fǎ
犯法	to break the law	fàn fǎ
犯病	to fall ill	fàn bìng
犯病	to fall ill	fàn bìng
犯罪	to commit a crime/crime	fàn zuì
犯罪	to commit a crime/crime	fàn zuì
犯罪分子	criminal	fàn zuì fèn zǐ
犯罪分子	criminal	fàn zuì fèn zǐ
犯罪学	criminology	fàn zuì xué
犯罪学	criminology	fàn zuì xué
犯罪學	criminology	fàn zuì xué
犯罪學	criminology	fàn zuì xué
犯罪率	crime rate	fàn zuì lǜ
犯罪率	crime rate	fàn zuì 率
犯罪率	crime rate	fàn zuì 率
犯罪率	crime rate	犯 zuì lǜ
犯罪者	criminal	fàn zuì zhě
犯罪者	criminal	fàn zuì zhě
犯罪者	criminal	fàn zuì zhě
犯罪者	criminal	fàn zuì zhě
犯罪行为	criminal act	fàn zuì xíng wéi
犯罪行为	criminal act	fàn zuì xíng wéi
犯罪行为	criminal act	fàn zuì xíng wéi
犯罪行為	criminal act	fàn zuì xíng wéi
犯罪行為	criminal act	fàn zuì xíng wéi
犯罪行為	criminal act	fàn zuì xíng wéi
犯規	foul	fàn guī
犯規	foul	fàn guī
犯规	foul	fàn guī
犯规	foul	fàn guī
犯錯	to err/err	fàn cuò
犯錯	to err/err	fàn cuò
犯错	to err/err	fàn cuò
犯错	to err/err	fàn cuò
犯难	feel embarrassed	fàn nán
犯难	feel embarrassed	fàn nán
犯難	feel embarrassed	fàn nán
犯難	feel embarrassed	fàn nán
犯難	feel embarrassed	fàn nán
犯難	feel embarrassed	fàn nán
犰	armadillo	qiú
犰狳	armadillo	qiú yú
犴	jail	àn
状	accusation/state/condition	zhuàng
状况	situation/condition	zhuàng kuàng
状况	situation/condition	zhuàng kuàng
状告	sue	zhuàng gào
状态	condition	zhuàng tài
状语	adverbial/adverbial modifier	zhuàng yǔ
犷	boorish/uncouth	guǎng
犹	as if	yóu
犹他	Utah	yóu tā
犹他州	Utah	yóu tā zhōu
犹大	Judas	yóu dà
犹大书	Jude	yóu dà shū
犹太	Jewish/Jew	yóu tài
犹太人	Jew	yóu tài rén
犹太复国主义	Zionism	yóu tài fù guó zhǔ yì
犹太教	Judaism	yóu tài jiào
犹女	niece	yóu nǚ
犹女	niece	yóu nǚ
犹如	be just like/as	yóu rú
犹子	nephew	yóu zǐ
犹疑	hesitate	yóu yí
犹豫	hesitate	yóu yù
犹豫不决	shilly-shally	yóu yù bù jué
犹豫不决	shilly-shally	yóu yù bù jué
狀	accusation/state/condition	zhuàng
狀	accusation/state/condition	zhuàng
狀告	sue	zhuàng gào
狀告	sue	zhuàng gào
狀態	condition	zhuàng tài
狀態	condition	zhuàng tài
狀況	condition	zhuàng kuàng
狀況	condition	zhuàng kuàng
狀語	adverbial/adverbial modifier	zhuàng yǔ
狀語	adverbial/adverbial modifier	zhuàng yǔ
狁	name of a tribe	yǔn
狂	wild/violent/mad	kuáng
狂乱	hysterical	kuáng luàn
狂亂	hysterical	kuáng luàn
狂亂	hysterical	kuáng luàn
狂人	madman	kuáng rén
狂傲	domineering/haughty	kuáng ào
狂吠	bark furiously/howl	kuáng fèi
狂喜	ecstasy	kuáng xǐ
狂妄	wildly arrogant	kuáng wàng
狂妄自大	arrogant/arrogant and conceited	kuáng wàng zì dà
狂态	scandalous scene/display of wild manners	kuáng tài
狂怒	furious	kuáng nù
狂怒	furious	kuáng nù
狂想	fantasy	kuáng xiǎng
狂態	scandalous scene/display of wild manners	kuáng tài
狂放	unrestrained	kuáng fàng
狂暴	frantic	kuáng bào
狂暴	frantic	kuáng bào
狂欢	revel	kuáng huān
狂欢节	carnival	kuáng huān jié
狂歡	revel	kuáng huān
狂歡節	carnival	kuáng huān jié
狂歡節	carnival	kuáng huān jié
狂歡節	carnival	kuáng huān jié
狂热	fanatical/feverish	kuáng rè
狂熱	fanatical/feverish	kuáng rè
狂犬病	rabies	kuáng quǎn bìng
狂言	ravings	kuáng yán
狂轟濫炸	bomb indiscriminately	kuáng hōng làn zhà
狂轟濫炸	bomb indiscriminately	kuáng hōng làn zhà
狂轰滥炸	bomb indiscriminately	kuáng hōng làn zhà
狂風	gale	kuáng fēng
狂風暴雨	violent storm	kuáng fēng bào yǔ
狂風暴雨	violent storm	kuáng fēng bào yǔ
狂飆	hurricane	kuáng biāo
狂风	gale	kuáng fēng
狂风暴雨	violent storm	kuáng fēng bào yǔ
狂风暴雨	violent storm	kuáng fēng bào yǔ
狂飙	hurricane	kuáng biāo
狂飲	drink hard	kuáng yǐn
狂饮	drink hard	kuáng yǐn
狃	accustomed to	niǔ
狄安娜	Diana	dí ān nà
狄更斯	Dickens	dí gēng sī
狄更斯	Dickens	dí gēng sī
狈	a legendary wolf	bèi
狎	be intimate with	xiá
狎妓冶游	be intimate with prostitutes and frequent brothels	xiá jì yě yóu
狐	fox	hú
狐狸	fox	hú li
狐狸座	Vulpecula	hú li zuò
狐猴	lemur	hú hóu
狐疑	suspicious	hú yí
狐群狗党	a gang of scoundrels	hú qún gǒu dǎng
狐群狗黨	a gang of scoundrels	hú qún gǒu dǎng
狒	hamadryad baboon	fèi
狒狒	baboon	fèi fèi
狗	dog	gǒu
狗仔	paparazzi	gǒu zǎi
狗仔队	paparazzi	gǒu zǎi duì
狗刨	dog paddle	gǒu páo
狗吠	bark	gǒu fèi
狗咬狗	dogfight/dog-eat-dog	gǒu yǎo gǒu
狗娘养的	son of a bitch	gǒu niáng yǎng de
狗娘養的	son of a bitch	gǒu niáng yǎng de
狗屁	nonsense	gǒu pì
狗屋	kennel	gǒu wū
狗屎	nonsense	gǒu shǐ
狗拿耗子	be meddlesome	gǒu ná hào zi
狗杂种	son of a bitch	gǒu zá zhǒng
狗熊	coward/black bear	gǒu xióng
狗獾	badger	gǒu huān
狗玩儿的	beast	gǒu wán ér de
狗玩兒的	beast	gǒu wán ér de
狗皮	dogskin	gǒu pí
狗皮膏药	quack medicine	gǒu pí gāo yao
狗皮膏藥	quack medicine	gǒu pí gāo yao
狗窝	kennel/doghouse	gǒu wō
狗窩	kennel/doghouse	gǒu wō
狗粮	dog food	gǒu liáng
狗糧	dog food	gǒu liáng
狗糧	dog food	gǒu liáng
狗肉	dog meat	gǒu ròu
狗腿子	hired thug/henchman	gǒu tuǐ zi
狗雜種	son of a bitch	gǒu zá zhǒng
狗鷲	royal eagle	gǒu jiù
狗鹫	royal eagle	gǒu jiù
狙	to spy	jū
狙击	snipe	jū jī
狙击手	sniper	jū jī shǒu
狙擊	snipe	jū jī
狙擊手	sniper	jū jī shǒu
狞笑	sardonic smile	níng xiào
狠	fierce	hěn
狠心	heartless	hěn xīn
狠毒	vicious	hěn dú
狠狠	ruthless	hěn hěn
狡	crafty/cunning	jiǎo
狡猾	crafty/cunning	jiǎo huá
狡詐	craft/deceitful/cunning	jiǎo zhà
狡计	birth control	jiǎo jì
狡诈	craft/deceitful/cunning	jiǎo zhà
狡賴	deny/to deny	jiǎo lài
狡赖	deny/to deny	jiǎo lài
狡辩	quibble/to quibble	jiǎo biàn
狡辯	quibble/to quibble	jiǎo biàn
狩猎	hunt	shòu liè
狩獵	hunt	shòu liè
狩獵	hunt	shòu liè
独	alone/only	dú
独一	unique	dú yī
独一无二	unique	dú yī wú èr
独个	alone	dú gè
独具匠心	show ingenuity	dú jù jiàng xīn
独具只眼	have exceptional insight	dú jù zhī yǎn
独创	original/original creation	dú chuàng
独创性	originality	dú chuàng xìng
独到	original	dú dào
独力	by one's own efforts	dú lì
独力	by one's own efforts	dú lì
独占	monopolize	dú zhàn
独占鳌头	be the champion/come out first	dú zhàn áo tóu
独唱	to solo	dú chàng
独奏	solo	dú zòu
独子	only son	dú zǐ
独家	exclusive	dú jiā
独居	live alone	dú jū
独居石	monazite	dú jū shí
独山	Dushan	dú shān
独山子	Dushanzi	dú shān zǐ
独山子区	Dushanzi district	dú shān zǐ qū
独揽	to monopolize	dú lǎn
独揽市场	to monopolize a market	dú lǎn shì chǎng
独断	dictatorial/arbitrary	dú duàn
独有	only	dú yǒu
独木舟	dugout/canoe	dú mù zhōu
独特	distinct/unique	dú tè
独独	alone/only	dú dú
独生	only	dú shēng
独生女	an only daughter	dú shēng nǚ
独生女	an only daughter	dú shēng nǚ
独生子	only son	dú shēng zǐ
独白	soliloquy	dú bái
独立	independent/stand alone/independence	dú lì
独立	independent/stand alone/independence	dú lì
独立于	independent from	dú lì yú
独立于	independent from	dú 立 yú
独立国	independent state	dú lì guó
独立国	independent state	dú 立 guó
独立宣言	Declaration of Independence	dú lì xuān yán
独立宣言	Declaration of Independence	dú lì xuān yán
独立性	independent character	dú lì xìng
独立性	independent character	dú 立 xìng
独立报	The Independent	dú lì bào
独立报	The Independent	dú lì bào
独立王国	independent kingdom	dú lì wáng guó
独立王国	independent kingdom	dú 立 wáng guó
独立选民	independent voter	dú lì xuǎn mín
独立选民	independent voter	dú lì xuǎn mín
独联体	Commonwealth of Independent States	dú lián tǐ
独自	alone	dú zì
独舞	solo dance	dú wǔ
独裁	dictatorship	dú cái
独裁者	dictator/autocrat	dú cái zhě
独裁者	dictator/autocrat	dú cái zhě
独裁者	dictator/autocrat	dú cái zhě
独角兽	unicorn	dú jiǎo shòu
独语	soliloquy	dú yǔ
独身	unmarried/single	dú shēn
独身者	celibate	dú shēn zhě
独身者	celibate	dú shēn 者
独身者	celibate	dú shēn 者
独轮车	wheelbarrow	dú lún chē
独辟蹊径	to blaze a new trail	dú pì xī jìng
独霸	monopolize/dominate	dú bà
狭	narrow	xiá
狭义	narrow sense	xiá yì
狭小	narrow	xiá xiǎo
狭窄	narrow	xiá zhǎi
狭谷	glen	xiá gǔ
狭路	gorge	xiá lù
狭路	gorge	xiá lù
狭长	long and narrow	xiá cháng
狭隘	narrow	xiá ài
狮	lion	shī
狮子	lion	shī zǐ
狮子座	Leo	shī zi zuò
狮子狗	Pekingese	shī zi gǒu
狮身人面像	sphinx	shī shēn rén miàn xiàng
狯	crafty/cunning	kuài
狰	hideous	zhēng
狰狞	ferocious/savage	zhēng níng
狱	prison	yù
狱吏	jailer	yù lì
狱吏	jailer	yù lì
狳	armadillo	yú
狷	impetuous/upright	juàn
狸猫	leopard cat	lí māo
狸貓	leopard cat	lí māo
狹	narrow	xiá
狹小	narrow	xiá xiǎo
狹窄	narrow	xiá zhǎi
狹義	narrow sense	xiá yì
狹路	gorge	xiá lù
狹路	gorge	xiá lù
狹長	long and narrow	xiá cháng
狹隘	narrow	xiá ài
狺	snarling of dogs	yín
狼	wolf	láng
狼	wolf	láng
狼孩	wolf child	láng hái
狼孩	wolf child	láng hái
狼心狗肺	cruel and unscrupulous	láng xīn gǒu fèi
狼心狗肺	cruel and unscrupulous	láng xīn gǒu fèi
狼狈为奸	collude	láng bèi wéi jiān
狼狈为奸	collude	láng bèi wéi jiān
狼疮	lupus	láng chuāng
狼疮	lupus	láng chuāng
狼瘡	lupus	láng chuāng
狼瘡	lupus	láng chuāng
狽	a legendary wolf	bèi
猎	hunt/hunting	liè
猎人	hunter	liè rén
猎刀	hunting knife	liè dāo
猎取	hunt	liè qǔ
猎奇	seek novelty	liè qí
猎户座	Orion	liè hù zuò
猎手	hunter	liè shǒu
猎捕	hunt	liè bǔ
猎杀	to kill	liè shā
猎枪	shotgun	liè qiāng
猎物	prey	liè wù
猎犬	hound/hunting dog	liè quǎn
猎犬座	Canes Venatici	liè quǎn zuò
猎狗	hunting dog	liè gǒu
猎豹	cheetah	liè bào
猎鹰	falcon	liè yīng
猕	macaque	mí
猕猴	macaque	mí hóu
猕猴桃	kiwi fruit/Chinese gooseberry	mí hóu táo
猖乱	wild and disorderly	chāng luàn
猖亂	wild and disorderly	chāng luàn
猖亂	wild and disorderly	chāng luàn
猖厉	mad and violent	chāng lì
猖厲	mad and violent	chāng lì
猖披	wild	chāng pī
猖狂	savage	chāng kuáng
猖獗	rampant	chāng jué
猙	hideous	zhēng
猙獰	ferocious/savage	zhēng níng
猛	fierce	měng
猛不防	suddenly/unexpectedly	měng bù fáng
猛不防	suddenly/unexpectedly	měng bù fáng
猛乍	unexpectedly	měng zhà
猛兽	beast of prey	měng shòu
猛冲	charge forward	měng chōng
猛力	with sudden force	měng lì
猛力	with sudden force	měng lì
猛劲儿	dash	měng jìn r
猛勁兒	dash	měng jìn r
猛可	suddenly	měng kě
猛地	suddenly	měng de
猛士	brave warrior	měng shì
猛扑	pounce/charge	měng pū
猛拉	yank	měng lā
猛拉	yank	měng 拉
猛撞	smash/slam	měng zhuàng
猛撲	pounce/charge	měng pū
猛攻	attack violently/storm	měng gōng
猛烈	fierce	měng liè
猛烈	fierce	měng liè
猛然	suddenly/abruptly	měng rán
猛犸	mammoth	měng mǎ
猛犸象	mammoth	měng mǎ xiàng
猛獁	mammoth	měng mǎ
猛獁象	mammoth	měng mǎ xiàng
猛獸	beast of prey	měng shòu
猛禽	bird of prey	měng qín
猛衝	charge forward	měng chōng
猛进	push ahead vigorously	měng jìn
猛進	push ahead vigorously	měng jìn
猜	to guess/guess	cāi
猜度	conjecture/surmise	cāi duó
猜度	conjecture/surmise	cāi duó
猜忌	be suspicious and jealous	cāi jì
猜想	suspect/guess/suppose	cāi xiǎng
猜测	to guess/guess/surmise	cāi cè
猜測	to guess/guess/surmise	cāi cè
猜疑	suspicious/have misgivings	cāi yí
猜謎兒	guess a riddle/guess	cāi mí r
猜谜儿	guess a riddle/guess	cāi mí r
猝	sudden/abrupt	cù
猝死	sudden death	cù sǐ
猝然	suddenly/abruptly	cù rán
猞猁	lynx	shē lì
猡	name of a tribe	luó
猢	monkey	hú
猢狲	macaque	hú sūn
猢猻	macaque	hú sūn
猥	humble	wěi
猥亵	obscene	wěi xiè
猥褻	obscene	wěi xiè
猩	ape	xīng
猩猩	orangutan	xīng xing
猩紅	scarlet	xīng hóng
猩紅熱	scarlet fever	xīng hóng rè
猩红	scarlet	xīng hóng
猩红热	scarlet fever	xīng hóng rè
猪	hog/swine/pig	zhū
猪	hog/swine/pig	zhū
猪	hog/swine/pig	zhū
猪倌	swineherd	zhū guān
猪倌	swineherd	zhū guān
猪倌	swineherd	zhū guān
猪八戒	Zhu Bajie	zhū bā jiè
猪八戒	Zhu Bajie	zhū bā jiè
猪八戒	Zhu Bajie	zhū bā jiè
猪场	piggery	zhū chǎng
猪场	piggery	zhū chǎng
猪场	piggery	zhū chǎng
猪头	pig head	zhū tóu
猪头	pig head	zhū tóu
猪头	pig head	zhū tóu
猪婆龙	Chinese alligator	zhū pó lóng
猪婆龙	Chinese alligator	zhū pó lóng
猪婆龙	Chinese alligator	zhū pó lóng
猪尾	pig tail	zhū wěi
猪尾	pig tail	猪 wěi
猪尾	pig tail	猪 wěi
猪尾巴	pig's tail	zhū wěi ba
猪尾巴	pig's tail	zhū wěi ba
猪尾巴	pig's tail	zhū wěi ba
猪排	pork chop	zhū pái
猪排	pork chop	zhū pái
猪排	pork chop	zhū pái
猪油	lard	zhū yóu
猪油	lard	zhū yóu
猪油	lard	zhū yóu
猪窠	pigsty	zhū kē
猪窠	pigsty	zhū kē
猪窠	pigsty	zhū kē
猪肉	pork	zhū ròu
猪肉	pork	zhū ròu
猪肉	pork	zhū ròu
猪肝	pork liver	zhū gān
猪肝	pork liver	猪 gān
猪肝	pork liver	猪 gān
猫	cat	māo
猫儿	kitten	māo ér
猫叫声	mew	māo jiào shēng
猫咪	kitty	māo mī
猫声鸟	catbird	māo shēng niǎo
猫头鹰	owl	māo tóu yīng
猫眼	peephole	māo yǎn
猫科	Felidae	māo kē
猬	hedgehog	wèi
献	offer	xiàn
献出	to offer	xiàn chū
献县	Xian county	xiàn xiàn
献宝	present a treasure	xiàn bǎo
献殷勤	ingratiate oneself	xiàn yīn qín
献殷勤	ingratiate oneself	xiàn yīn qín
献祭	sacrifice	xiàn jì
献策	offer advice	xiàn cè
献给	present to	xiàn gěi
献花	present flowers	xiàn huā
献血	donate blood/to donate blood	xiàn xuè
献计	offer advice	xiàn jì
献身	dedication	xiàn shēn
猴	monkey	hóu
猴儿	monkey/little devil	hóu ér
猴兒	monkey/little devil	hóu ér
猴子	monkey	hóu zi
猴年	year of the monkey	hóu nián
猴年	year of the monkey	hóu nián
猴戏	monkey show	hóu xì
猴戲	monkey show	hóu xì
猴面包树	monkey-bread tree	hóu miàn bāo shù
猴麵包樹	monkey-bread tree	hóu miàn bāo shù
猶	as if	yóu
猶他	Utah	yóu tā
猶他州	Utah	yóu tā zhōu
猶大	Judas	yóu dà
猶大書	Jude	yóu dà shū
猶太	Jewish/Jew	yóu tài
猶太人	Jew	yóu tài rén
猶太復國主義	Zionism	yóu tài fù guó zhǔ yì
猶太復國主義	Zionism	yóu tài fù guó zhǔ yì
猶太教	Judaism	yóu tài jiào
猶女	niece	yóu nǚ
猶女	niece	yóu nǚ
猶如	be just like/as	yóu rú
猶子	nephew	yóu zǐ
猶疑	hesitate	yóu yí
猶豫	hesitate	yóu yù
猶豫不決	shilly-shally	yóu yù bù jué
猶豫不決	shilly-shally	yóu yù bù jué
猷	to scheme/scheme/plan	yóu
猾	sly	huá
猿	ape	yuán
猿人	ape man	yuán rén
猿猴	apes and monkeys/ape	yuán hóu
獄	prison	yù
獄吏	jailer	yù lì
獄吏	jailer	yù lì
獅	lion	shī
獅子	lion	shī zǐ
獅子座	Leo	shī zi zuò
獅子狗	Pekingese	shī zi gǒu
獅身人面像	sphinx	shī shēn rén miàn xiàng
獍	a mythical animal that eats its mother	jìng
獎	encourage/prize/award	jiǎng
獎品	prize/award	jiǎng pǐn
獎學金	scholarship	jiǎng xué jīn
獎學金	scholarship	jiǎng xué jīn
獎挹	reward and promote	jiǎng yì
獎掖	reward and promote	jiǎng yè
獎杯	trophy cup	jiǎng bēi
獎牌	prize	jiǎng pái
獎章	medal	jiǎng zhāng
獎賞	reward/award	jiǎng shǎng
獎金	bonus/premium	jiǎng jīn
獎金	bonus/premium	jiǎng jīn
獐	river deer	zhāng
獒	mastiff	áo
獒犬	mastiff	áo quǎn
獗	unruly	jué
獠	fierce	liáo
獨	alone/only	dú
獨一	unique	dú yī
獨一無二	unique	dú yī wú èr
獨個	alone	dú gè
獨具匠心	show ingenuity	dú jù jiàng xīn
獨具隻眼	have exceptional insight	dú jù zhī yǎn
獨到	original	dú dào
獨創	original/original creation	dú chuàng
獨創性	originality	dú chuàng xìng
獨力	by one's own efforts	dú lì
獨力	by one's own efforts	dú lì
獨占鰲頭	come out first	dú zhàn áo tóu
獨唱	to solo	dú chàng
獨奏	solo	dú zòu
獨子	only son	dú zǐ
獨家	exclusive	dú jiā
獨居石	monazite	dú jū shí
獨山	Dushan	dú shān
獨攬	to monopolize	dú lǎn
獨攬市場	to monopolize a market	dú lǎn shì chǎng
獨斷	dictatorial/arbitrary	dú duàn
獨有	only	dú yǒu
獨木舟	dugout/canoe	dú mù zhōu
獨特	distinct/unique	dú tè
獨獨	alone/only	dú dú
獨生	only	dú shēng
獨生女	an only daughter	dú shēng nǚ
獨生女	an only daughter	dú shēng nǚ
獨生子	only son	dú shēng zǐ
獨白	soliloquy	dú bái
獨立	independent/stand alone/independence	dú lì
獨立	independent/stand alone/independence	dú lì
獨立國	independent state	dú lì guó
獨立國	independent state	dú 立 guó
獨立報	The Independent	dú lì bào
獨立報	The Independent	dú lì bào
獨立宣言	Declaration of Independence	dú lì xuān yán
獨立宣言	Declaration of Independence	dú lì xuān yán
獨立性	independence/independent character	dú lì xìng
獨立性	independence/independent character	dú 立 xìng
獨立王國	independent kingdom	dú lì wáng guó
獨立王國	independent kingdom	dú 立 wáng guó
獨立選民	independent voter	dú lì xuǎn mín
獨立選民	independent voter	dú lì xuǎn mín
獨聯體	Commonwealth of Independent States	dú lián tǐ
獨聯體	Commonwealth of Independent States	dú lián tǐ
獨自	alone	dú zì
獨舞	solo dance	dú wǔ
獨裁	dictatorship	dú cái
獨裁者	dictator/autocrat	dú cái zhě
獨裁者	dictator/autocrat	dú cái zhě
獨裁者	dictator/autocrat	dú cái zhě
獨角獸	unicorn	dú jiǎo shòu
獨語	soliloquy	dú yǔ
獨身	unmarried/single	dú shēn
獨身者	celibate	dú shēn zhě
獨身者	celibate	dú shēn 者
獨身者	celibate	dú shēn 者
獨輪車	wheelbarrow	dú lún chē
獨輪車	wheelbarrow	dú lún chē
獨輪車	wheelbarrow	dú lún chē
獨霸	monopolize/dominate	dú bà
獪	crafty/cunning	kuài
獭	otter	tǎ
獰笑	sardonic smile	níng xiào
獲	catch/capture/obtain	huò
獲利	obtain profit	huò lì
獲利	obtain profit	huò lì
獲勝	victorious/triumph	huò shèng
獲取	gain	huò qǔ
獲嘉	Huojia	huò jiā
獲得	to obtain	huò dé
獲得者	recipient	huò dé zhě
獲得者	recipient	huò dé zhě
獲得者	recipient	huò dé zhě
獲悉	to learn	huò xī
獲救	to be rescued	huò jiù
獲暴利者	profiteer	huò bào lì zhě
獲暴利者	profiteer	huò 暴 lì zhě
獲暴利者	profiteer	huò bào 利 zhě
獲暴利者	profiteer	huò bào lì 者
獲暴利者	profiteer	huò bào lì 者
獲準	obtain permission	huò zhǔn
獲獎	win a prize	huò jiǎng
獲益者	beneficiary	huò yì zhě
獲益者	beneficiary	huò yì zhě
獲益者	beneficiary	huò yì zhě
獲益者	beneficiary	huò yì zhě
獲益者	beneficiary	huò yì zhě
獲贈	to be presented with	huò zèng
獲贈	to be presented with	huò zèng
獲贈	to be presented with	huò zèng
獲釋	set free	huò shì
獲鹿	Huolu	huò lù
獲鹿	Huolu	huò 鹿
獴	mongoose	měng
獵	hunt/hunting	liè
獵	hunt/hunting	liè
獵人	hunter	liè rén
獵人	hunter	liè rén
獵刀	hunting knife	liè dāo
獵刀	hunting knife	liè dāo
獵取	hunt	liè qǔ
獵取	hunt	liè qǔ
獵奇	seek novelty	liè qí
獵奇	seek novelty	liè qí
獵戶座	Orion	liè hù zuò
獵戶座	Orion	liè hù zuò
獵手	hunter	liè shǒu
獵手	hunter	liè shǒu
獵捕	hunt	liè bǔ
獵捕	hunt	liè bǔ
獵槍	shotgun	liè qiāng
獵槍	shotgun	liè qiāng
獵殺	to kill	liè shā
獵殺	to kill	liè shā
獵殺	to kill	liè shā
獵殺	to kill	liè shā
獵物	prey	liè wù
獵物	prey	liè wù
獵犬	hound/hunting dog	liè quǎn
獵犬	hound/hunting dog	liè quǎn
獵犬座	Canes Venatici	liè quǎn zuò
獵犬座	Canes Venatici	liè quǎn zuò
獵狗	hunting dog	liè gǒu
獵狗	hunting dog	liè gǒu
獵豹	cheetah	liè bào
獵豹	cheetah	liè bào
獵鷹	falcon	liè yīng
獵鷹	falcon	liè yīng
獷	boorish/uncouth	guǎng
獸	beast/beastly	shòu
獸力車	animal-drawn vehicle	shòu lì chē
獸力車	animal-drawn vehicle	shòu lì chē
獸力車	animal-drawn vehicle	shòu lì chē
獸奸	bestiality	shòu jiān
獸姦	bestiality	shòu jiān
獸性	brutal	shòu xìng
獸皮	animal skin	shòu pí
獸穴	animal den	shòu xué
獸行	brutal act/bestiality	shòu xíng
獸行	brutal act/bestiality	shòu xíng
獸醫	vet/veterinary/veterinarian	shòu yī
獸類	animals	shòu lèi
獸類	animals	shòu lèi
獺	otter	tǎ
獻	offer	xiàn
獻出	to offer	xiàn chū
獻寶	present a treasure	xiàn bǎo
獻技	show one's skill	xiàn jì
獻殷勤	ingratiate oneself	xiàn yīn qín
獻殷勤	ingratiate oneself	xiàn yīn qín
獻禮	present a gift	xiàn lǐ
獻禮	present a gift	xiàn lǐ
獻策	offer advice	xiàn cè
獻給	present to	xiàn gěi
獻縣	Xian county	xiàn xiàn
獻血	donate blood/to donate blood	xiàn xuè
獻計	offer advice	xiàn jì
獻身	dedication	xiàn shēn
獼	macaque	mí
獼猴	macaque	mí hóu
獼猴桃	kiwi fruit/Chinese gooseberry	mí hóu táo
獾	badger	huān
玀	name of a tribe	luó
玄	black/profound	xuán
玄乎	unreliable/incredible	xuán hū
玄关	entrance/vestibule	xuán guān
玄奥	abstruse	xuán ào
玄奧	abstruse	xuán ào
玄妙	mysterious/abstruse	xuán miào
玄孙	great-great-grandson	xuán sūn
玄孫	great-great-grandson	xuán sūn
玄机	profound	xuán jī
玄機	profound	xuán jī
玄武岩	basalt	xuán wǔ yán
玄秘	mysterious	xuán mì
玄關	entrance/vestibule	xuán guān
玄青	deep black	xuán qīng
率	lead	lǜ
率	lead	lǜ
率	lead	lǜ
率先	to take the lead	shuài xiān
率先	to take the lead	shuài xiān
率先	to take the lead	shuài xiān
率然	rashly	shuài rán
率然	rashly	shuài rán
率然	rashly	shuài rán
率直	frank/blunt/straightforward	shuài zhí
率直	frank/blunt/straightforward	shuài zhí
率直	frank/blunt/straightforward	shuài zhí
率直	frank/blunt/straightforward	shuài zhí
率領	head/command/lead	shuài lǐng
率領	head/command/lead	shuài lǐng
率領	head/command/lead	shuài lǐng
率領	head/command/lead	shuài lǐng
率领	head/command/lead	shuài lǐng
率领	head/command/lead	shuài lǐng
率领	head/command/lead	shuài lǐng
玉	jade	yù
玉佩	jade pendant	yù pèi
玉兔	the Jade Hare	yù tù
玉山	Yushan	yù shān
玉帝	the Jade Emperor	yù dì
玉林	Yulin	yù lín
玉林	Yulin	yù lín
玉林市	Yulin	yù lín shì
玉林市	Yulin	yù lín shì
玉溪	Yuxi	yù xī
玉滴石	hyalite	yù dī shí
玉环	Yuhuan	yù huán
玉環	Yuhuan	yù huán
玉田	Yutian	yù tián
玉石	jade	yù shí
玉石俱焚	destroy indiscriminately	yù shí jù fén
玉米	maize/corn	yù mǐ
玉米片	cornflakes	yù mǐ piàn
玉米粉	corn starch	yù mǐ fěn
